企业名称,线索id,线索标题,线索是否下架,线索链接,作品ID,作品名,掌柜名,店铺名,店铺链接,线索入库时间,开店时间,"店铺状态（是否还存在,1表示还开着2,0表示关店了）"
圣智学习（北京）教育科技有限公司,33446496,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=835027967802,200468,通途英语 听说与思辩 1,小百货文具超市,明妍书屋,https://shop129905930.taobao.com,2024/9/19 9:02,2015/9/1 18:57,1
圣智学习（北京）教育科技有限公司,33446500,通途英语1读写与思辨听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=835111375498,200468,通途英语 听说与思辩 1,雪舞非花,中华五千年书屋,https://shop61866453.taobao.com,2024/9/19 9:02,2010/6/20 10:48,1
圣智学习（北京）教育科技有限公司,33446494,通途英语1读写与思辨听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=835300563241,200468,通途英语 听说与思辩 1,欢迎光临19580302,迈裕文化,https://shop104249451.taobao.com,2024/9/19 9:02,2013/5/19 17:01,1
圣智学习（北京）教育科技有限公司,33446499,通途英语1读写与思辨听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=835760058616,200468,通途英语 听说与思辩 1,cc18757135592,官舍书店,https://shop68054156.taobao.com,2024/9/19 9:02,2011/7/26 23:55,1
圣智学习（北京）教育科技有限公司,33446502,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=835769910230,200468,通途英语 听说与思辩 1,啵啵虎124,慧阅书屋,https://shop209964489.taobao.com,2024/9/19 9:02,2019/10/5 17:04,1
圣智学习（北京）教育科技有限公司,33446493,通途英语 听说与思辨1 【 程晓堂主编 江苏凤凰教育出版社202,已下架,https://item.taobao.com/item.htm?id=835776464511,200468,通途英语 听说与思辩 1,马宏昌8333,宏昌书屋,https://shop69234525.taobao.com,2024/9/19 9:02,2011/10/15 11:19,1
圣智学习（北京）教育科技有限公司,33446495,通途英语1读写与思辨听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=835823206039,200468,通途英语 听说与思辩 1,韩杰先生vv,读书不二企业店,https://shop393603866.taobao.com,2024/9/19 9:02,2017/5/4 7:25,1
圣智学习（北京）教育科技有限公司,33446498,通途英语1读写与思辨听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=836046397834,200468,通途英语 听说与思辩 1,xiao婷婷0606,克拉的书橱,https://shop107042924.taobao.com,2024/9/19 9:02,2013/10/25 15:52,1
圣智学习（北京）教育科技有限公司,33484560,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=836639095601,200468,通途英语 听说与思辩 1,五月花生活馆,五月花生活馆,https://shop36365762.taobao.com,2024/9/26 5:56,2008/9/17 22:01,1
圣智学习（北京）教育科技有限公司,33484564,通途英语 听说与思辨1 【 程晓堂主编 江苏凤凰教育出版社202,已下架,https://item.taobao.com/item.htm?id=836735556256,200468,通途英语 听说与思辩 1,广州荣姣皮具有限公司,荣姣书屋,https://shop128258528.taobao.com,2024/9/26 5:57,2015/8/5 18:35,1
圣智学习（北京）教育科技有限公司,33484562,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=836831730507,200468,通途英语 听说与思辩 1,魔蝎秘语,行知堂书阁,https://shop102251471.taobao.com,2024/9/26 5:57,2013/2/18 21:05,1
圣智学习（北京）教育科技有限公司,33484563,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹） 江苏凤凰,已下架,https://item.taobao.com/item.htm?id=836873310411,200468,通途英语 听说与思辩 1,菰翼o独飞,晨熙书店,https://shop150942154.taobao.com,2024/9/26 5:57,2016/3/19 3:28,1
圣智学习（北京）教育科技有限公司,33537459,通途英语 1 读写与思辨 听说与思辨略有铅笔笔迹 江苏凤凰教育出,已下架,https://item.taobao.com/item.htm?id=837159957072,200468,通途英语 听说与思辩 1,1原来我不帅,中国正阳书店,https://shop71533892.taobao.com,2024/10/8 16:55,2012/4/19 23:42,1
圣智学习（北京）教育科技有限公司,33537445,通途英语1读写与思辨听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=840743730904,200468,通途英语 听说与思辩 1,非凡小苹果,德育图书店,https://shop35690802.taobao.com,2024/10/8 16:54,2008/4/21 22:11,1
圣智学习（北京）教育科技有限公司,33537456,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=841083981778,200468,通途英语 听说与思辩 1,柴派办公用品店,云飞图书,https://shop140130933.taobao.com,2024/10/8 16:55,2015/10/30 18:26,1
